,headings
0,Biography[edit]
1,Childhood[edit]
2,Adult years[edit]
3,Education[edit]
4,Death[edit]
5,Work[edit]
6,First published computer program[edit]
7,Insight into potential of computing devices[edit]
8,Distinction between mechanism and logical structure[edit]
9,Controversy over contribution[edit]
10,Commemoration[edit]
11,Bicentenary (2015)[edit]
12,In popular culture[edit]
13,Novels and plays[edit]
14,Film and television[edit]
15,Computing and STEM[edit]
16,Other[edit]
17,Publications[edit]
18,Publication history[edit]
19,See also[edit]
20,Explanatory notes[edit]
21,References[edit]
22,Citations[edit]
23,General and cited sources[edit]
24,Further reading[edit]
25,External links[edit]
